# https://plone.unige.ch/espresso/Science/observations/instrumental-issues/your-eso-runs-106-21m2-001-002-006-007-and-1104-c-0350-a-update-on-technical-problems
#
# From January to April 2021, ESPRESSO's was affected by critical software issues.
# These low-level issues – at the level of communication with the Programmable
# Logic Controller, [PLC] – did not trigger any error or warning. The problem thus
# compromised a large number of observations for several programs before it was
# identified. It was originally misdiagnosed as an UT2 ADC2 failure, while further
# investigation showed that it resulted from a pure communication issue affecting
# the four ADC2's. It affected thus data on each of the UTs in a similar way.
# 
# The faulty data can be identified by the absence or zero value of the header
# keywords
# 
# HIERARCH ESO INS ADC2 RA =  0. / [deg] Telescope right ascension.
# HIERARCH ESO INS ADC2 SENS1 = 0. / [mbar] Pressure.
# HIERARCH ESO INS ADC2 TEMP = 0. / [C] Temperature.
# 
# With ADC2 being non-responsive, the atmospheric dispersion was not corrected
# for, and the chromatic stellar images formed on the field-stabilization TCCD did
# not overlap spatially. This introduced a wavelength-dependent light loss at the
# fiber interface.
# 
# A comparison of RV taken with the ADC operating in and out of range, i.e.,
# correcting all atmospheric dispersion or leaving uncorrected atmospheric
# dispersion, respectively, shows that the latter dataset is affected by an
# additional scatter of the order of 1 m/s. A faulty ADC will not correct or even
# introduce an atmospheric dispersion having an effect that is, to first order,
# similar to having an ADC operating out of range, and thus of the same order of
# magnitude.
# 
# An important exception applies. The ESPRESSO pipeline was devised to correct the
# residual atmosphere dispersion effect, i.e. after ADC correction. This reduces
# significantly the chromatic effects on data. If flux correction is possible,
# i.e.
# 
# HIERARCH ESO QC SCIRED FLUX CORR CHECK = 1 / Flux correction QC
# 
# then the impact remains at ~1 m/s. If this QC did not pass, the flux correction
# was not applied and the effect can be of several m/s.
# 
# Finally, programs aiming at high spectral fidelity will be compromised by
# systematic errors on the flux and line-spread function determinations. The
# severity of these effects will vary from spectra to spectra. Without a precise
# knowledge of the ADC2 true position, they are very difficult to correct.
# 
# Future updates of this issue would be posted via the news page of the ESPRESSO
# instrument at
# https://www.eso.org/sci/facilities/paranal/instruments/espresso/news.html.
# 
# The updated list of ADC events affecting your runs are listed at the end of this
# message.
#
2021-03-04      r.ESPRE.2021-03-05T07:44:41.378   106.21M2.001    2896150
2021-03-06      r.ESPRE.2021-03-07T07:10:04.535   106.21M2.001    2900742
2021-03-07      r.ESPRE.2021-03-08T00:34:50.993   106.21M2.002    2991060
2021-03-10      r.ESPRE.2021-03-11T00:54:11.964   106.21M2.001    2998564
2021-03-10      r.ESPRE.2021-03-11T01:15:54.380   106.21M2.001    2998620
2021-03-10      r.ESPRE.2021-03-11T05:02:49.957   106.21M2.001    2896153
2021-03-11      r.ESPRE.2021-03-12T00:38:18.717   106.21M2.002    2991066
2021-03-11      r.ESPRE.2021-03-12T00:58:34.379   106.21M2.001    2998567
2021-03-11      r.ESPRE.2021-03-12T02:25:02.014   106.21M2.002    2897633
2021-03-11      r.ESPRE.2021-03-12T02:52:36.281   106.21M2.001    3000528
2021-03-11      r.ESPRE.2021-03-12T06:02:55.546   106.21M2.001    3000531
2021-03-12      r.ESPRE.2021-03-13T06:48:03.247   106.21M2.001    3000537
2021-03-13      r.ESPRE.2021-03-14T07:50:41.848   106.21M2.001    3000540
2021-03-14      r.ESPRE.2021-03-15T00:18:49.175   106.21M2.001    2900088
2021-03-14      r.ESPRE.2021-03-15T01:01:08.379   106.21M2.002    2897636
2021-03-15      r.ESPRE.2021-03-16T00:23:36.107   106.21M2.001    2998632
2021-03-15      r.ESPRE.2021-03-16T02:38:57.380   106.21M2.001    2998635
2021-03-15      r.ESPRE.2021-03-16T05:02:26.004   106.21M2.001    2896162
2021-03-15      r.ESPRE.2021-03-16T05:24:45.661   106.21M2.002    3002770
2021-03-15      r.ESPRE.2021-03-16T09:17:24.621   106.21M2.001    2896162
2021-01-28      r.ESPRE.2021-01-29T00:46:46.708   106.21M2.002    2981562
2021-01-28      r.ESPRE.2021-01-29T01:46:34.785   106.21M2.002    2897966
2021-01-28      r.ESPRE.2021-01-29T02:06:35.596   106.21M2.002    2899965
2021-01-31      r.ESPRE.2021-02-01T01:34:18.507   106.21M2.001    2899996
2019-12-22      r.ESPRE.2019-12-23T00:30:55.824   1104.C-0350(A)  2496531
# additional frames with ADC2 absent or set to zero
2021-04-06      r.ESPRE.2021-04-06T23:30:53.085   1104.C-0350     3026604
2021-04-09      r.ESPRE.2021-04-10T00:40:18.132   1104.C-0350     3027219
